ID,Price,Description
8,5.95,MALABAR TREAT Banana Chips  454g
8a,11.95,KOZHIKODAN Banana Chips  1Kg
8b,3.45,VISWAS Tapioca Chips (Plain/Spicy) 200g
9,2.45,PARLE G Biscuits  799g
10,3.45,BRITANIA Bourbon Biscuits 390g
11,1.5,MUNCHEE Cream Cracker 190g
12,8.45,BRITANIA G'Day Biscuits - Butter/Cashew/Pista 720g
12b,4.95,INSTANT DELEIGHT Hot Mixture 400g
13,9.95,KOZHIKODAN kerala Mixture  1Kg
14,9.95,KOZHIKODAN kerala Mixture(Extra Hot)  1Kg
15,1.5,MUNCHEE Lemon Puff 200g
16,2.45,BRITANIA Marie Gold 250g
17,4.95,BRITANIA Milk Bikies 540g
18,5.45,BRITANIA Milk Rusk 620g 620g
19,4.95,MALABAR TREAT Murrukku (Butter/Masala/Palak) 454g
19a,5.95,KARACHI BAKERY OSMANIA - Assorted pKts
20,3.95,PARLE Rusk  600g
21,2.65,VEER JEE Rusk Plain/Elachi 400g
22,2.95,KEMCHOO Snacks (Assorted) 270g
23,8.95,BIKANO Snacks Assorted 1Kg
24,2.25,HALDIRAM Snacks small small pks
25,5.75,BRITANIA Sooji Rusk670g 670g
26,2.95,BRITANIA Tiger Biscuits 816g
