ID,Price,Description
27,2.95, (PATTU/KATOOMBA) Chana Daal 1Kg
27a,11.95, (PATTU/KATOOMBA)Chana Dhal 5Kg
28,3.45 / 3.50, (MKS/KATOOMBA) Chick Pea 1Kg
28a,15.95 / 14.95, (MKS/KATOOMBA) Chick Pea 9mm 5Kg
29,4.45,KATOOMBA Dark Red kidney Beans  1Kg
30,4.45,KATOOMBA Light Red kidney Beans  1Kg
31,3.45 / 2.95,KATOOMBA Moong Dhal (MKS/KATOOMBA) 1Kg
32,3.95,KATOOMBA Mung Beans Large  1Kg
33,2.95,PATTU Red Lentils Split 1Kg
33a,12.95,PATTU Red Lentils Split  5Kg
34,3.95,PATTU Toor Daal 1Kg
34a,13.95,PATTU Toor Dhal 5Kg
34b,13.95,PATTU Toor Dhall Indian 5Kg
35,2.45,KATOOMBA Tyson Chick Peas  1Kg
35a,13.95,KATOOMBA Urid Dhall Split 5Kg
35b,16.95,KATOOMBA Urid Gota  5Kg
201,13.95,NAVASHAKTI Toor Dhal 5Kg
202,12.95,NAVASHAKTI Red Lentils Split 5Kg
