ID,Price,Description
36,11.95,SABRINI Asli Samosa 45g/1.87kg 25pcs
37,7.95,KATOOMBA Chappatis  30Pcs
38,13.95,HALDIRAM Cocktail Samosa 1.4Kg
39,7.95,HALDIRAM Home Style Paratha  1.20Kg
40,7.95,HALDIRAM Phulka Roti 900g
41,9.95,HALDIRAM Plain Naan 1.28Kg
42,10.95,HALDIRAM Garlic Naan  1.28Kg
43,9.95,KAWAN Frozen Paratha - Aloo/Flaky/Multi Grain/Onion/Plain) 25pcs
44,1.95,KATOOMBA Frozen Vegetable pKts
45,1.95,ASHOKA Frozen Vegetables  pKts
46,6.95,KATOOMBA Garlic Naan  80g
46a,3.95,NILMAL Greated Coconut 400g
47,4.45,VISWAS Greated Coconut 400g
48,5.45,DAILY DELIGHT Greated Coconut 400g
49,6.95,KATOOMBA Home Style Paratha  60g
50,14.45,DAILY DELIGHT Malabar Paratha 2Kg
51,8.45,DAILY DELIGHT Malabar Paratha 908g
52,4.95,PHILSBURY Microwaveable Roti 30Pcs
53,11.95,KATOOMBA Punjabi Samosa 75g box
54,13.95,ASHOKA Punjabi Samosa 75g box
55,11.95,KATOOMBA Punjabi Samosa Hot & Spicy 75g
55a,12.95,NILMAL Restaurant Paratha 2Kg
55b,9.95,DAILY DELIGHT Restaurant Paratha 2Kg
56,9.95,KATOOMBA Roti Paratha Plain 30pcs
57,3.95,DAILY DELIGHT Tapioca 1Kg
58,4.95,PHILSBURY Tawa Chapathi 30pcs
59,9.95,KATOOMBA Wholemeal Roti Paratha  30pcs
60,2.95,SABRINI Wraps 200g
