ID,Price,Description
1,11.95,AVATAR Basmati Rice 5Lb
2,14.95,LAL QILLA 507 Basmati Rice 5Kg
3,69.95,"DAAWAT Basmati ""SELECT"" 20Kg"
4,18.95,"DAAWAT Basmati ""SELECT"" 5Kg"
5,46.95,DEVAYA Basmati Rice 20Kg
6,12.95,DEVAYA Basmati Rice 5Kg
7,11.95,"DAAWAT Basmati Rice ""Every Day"" 5Kg"
8,19.95,LAL QILLA Brown Basmati (Pouch Paks ONLY) 5Kg
9,21.95,INDIA GATE Classic Rice  5Kg
10,79.95,INDIA GATE Classic Rice  20Kg
11,38.95,INDYA Crown 20Kg
12,10.95,INDYA Crown 5Kg
13,9.95,INDIA GATE Harooz Rice 5Kg
14,8.95,NAVASAKTI Idli Rice 5Kg
15,8.95,INDYA IDLI RICE 5Kg
16,17.95,LAL QILLA Majestic Basmati 5Kg
17,19.95,MAYIL Jeera Rice 5Kg
18,17.95,MAYIL Matta Rice 10Kg
19,17.95,GRANDMAS Matta Rice 10Kg
20,17.95,DOUBLE HORSE Matta Rice 10Kg
21,16.5,INDIA GATE Premium Rice  5Kg
22,75.95,INDIA GATE Premium Rice  20Kg
23,12.45,RABEENA Red Raw Rice 5Kg
24,9.99,SHUDH Regular Basmati 5Kg
25,9.95,INDIA GATE Rozana Rice  5Kg
26,15.95,LAL QILLA Sajahan Sella Basmati 5Kg
27,9.95,INDIA GATE Sona Masoori Rice  5Kg
