ID,Price,Description
184,14.95, Dosa Tawa 275mm Each
91b,5.75,NAVASAKTI GARLIC 1Kg
91a,5.75,NAVASAKTI GINGER 1Kg
185,6.45,PRIYA Ginger & Garlic 1Kg
91,5.75,NAVASAKTI GINGER+GARLIC 1Kg
186,19.95, Hopper Pan Non Stick Double Handles each
186a,19.95, Hopper Pan Non Stick Single Handle each
187,24.95, Idly Cooker 4 Plates Each
188,29.95, Idly Cooker 6 Plates Excl gst Each
92,3.95,CYCLE Incensence Sticks (100 Stickes) Excl gst
93,2.25,SAMANTIN  Mackeral Can Fish Red/Blue 425g
93a,9.95,KOZHIKODAN Plum Cake  700g
94,4.45,INDYA SAGO 1Kg
94a,3.95,PUNJABI WORLD SPINACH PUREE 790g
95,1.3,AASHIRVAAD Salt 1Kg
96,1.3,TATA Salt 1Kg
97,1.95,MAYIL Tamarind  200g
97a,4.45,MALABAR TREAT Tamarind  500g
98,2.45,MAHARAJAS CHIOCE Tamarind  200g
