ID,Price,Description
139b,11.95,AVATAR Basmati Rice 5Lb
139a,14.95,LAL QILLA 507 Basmati Rice 5Kg
139,69.95,"DAAWAT Basmati ""SELECT"" 20Kg"
140,18.95,"DAAWAT Basmati ""SELECT"" 5Kg"
141,46.95,DEVAYA Basmati Rice 20Kg
142,12.95,DEVAYA Basmati Rice 5Kg
143,11.95,"DAAWAT Basmati Rice ""Every Day"" 5Kg"
144,19.95,LAL QILLA Brown Basmati (Pouch Paks ONLY) 5Kg
145,21.95,INDIA GATE Classic Rice  5Kg
146,79.95,INDIA GATE Classic Rice  20Kg
147,38.95,INDYA Crown 20Kg
148,10.95,INDYA Crown 5Kg
149,9.95,INDIA GATE Harooz Rice 5Kg
149a,8.95,NAVASAKTI Idli Rice 5Kg
150,8.95,INDYA IDLI RICE 5Kg
151,17.95,LAL QILLA Majestic Basmati 5Kg
152,19.95,MAYIL Jeera Rice 5Kg
153,17.95,MAYIL Matta Rice 10Kg
154,17.95,GRANDMAS Matta Rice 10Kg
155,17.95,DOUBLE HORSE Matta Rice 10Kg
156,16.5,INDIA GATE Premium Rice  5Kg
157,75.95,INDIA GATE Premium Rice  20Kg
158,12.45,RABEENA Red Raw Rice 5Kg
139c,9.99,SHUDH Regular Basmati 5Kg
159,9.95,INDIA GATE Rozana Rice  5Kg
160,15.95,LAL QILLA Sajahan Sella Basmati 5Kg
161,9.95,INDIA GATE Sona Masoori Rice  5Kg
